SVC_CD|MODIFIER_1|FEE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
A9513||279.48||||
A9542||3490.46||||
A9543||64858.88||||
A9590||324.85||||
A9592||929.46||||
A9595||551.96||||
A9596||968.2||||
A9602||498.87||||
A9604||16287.34||||
A9606||164.1||||
A9607||227.59||||
A9800||800.0||||
C9254||0.42||||
J0121||3.8||||
J0122||1.21||||
J0131||0.04||||
J0132||0.57||||
J0133||0.03||||
J0134||0.04||||
J0136||0.05||||
J0137||0.05||||
J0138||0.23||||
J0153||0.4||||
J0174||1.34||||
J0175||4.09||||
J0283||2.54||||
J0291||3.59||||
J0348||0.46||||
J0456||2.06||||
J0485||3.81||||
J0606||3.93||||
J0612||0.04||||
J0636||1.0||||
J0641||0.21||||
J0642||1.38||||
J0687||1.04||||
J0688||0.98||||
J0689||1.26||||
J0699||2.28||||
J0712||3.94||||
J0742||2.51||||
J0872||0.04||||
J0873||0.04||||
J0874||0.07||||
J0877||0.06||||
J0878||0.03||||
J0883||2.42||||
J0884||2.42||||
J0891||3.96||||
J0892||3.96||||
J0893||2.0||||
J0894||1.63||||
J1165||0.44||||
J1265||0.72||||
J1270||0.38||||
J1434||3.05||||
J1439||1.1||||
J1453||0.14||||
J1456||2.04||||
J1626||0.28||||
J1741||2.93||||
J1756||0.23||||
J1805||0.19||||
J1806||0.36||||
J1836||0.03||||
J1920||0.27||||
J1921||1.63||||
J1939||0.62||||
J1953||0.06||||
J2002||0.01||||
J2020||3.08||||
J2150||2.61||||
J2183||1.62||||
J2184||2.1||||
J2246||0.9||||
J2247||0.35||||
J2248||0.29||||
J2252||0.07||||
J2265||2.45||||
J2305||1.41||||
J2372||0.17||||
J2373||0.15||||
J2404||0.54||||
J2469||0.62||||
J2470||3.93||||
J2471||2.53||||
J2501||0.76||||
J2601||3.75||||
J2700||0.87||||
J2704||0.09||||
J2710||1.11||||
J2720||1.08||||
J2916||2.19||||
J3090||1.81||||
J3105||2.27||||
J3243||0.52||||
J3370||2.16||||
J7030||2.57||||
J7040||1.28||||
J7042||1.14||||
J7050||0.64||||
J7060||1.82||||
J7070||3.65||||
J7120||2.42||||
J7177||1.11||||
J7178||1.45||||
J7328||0.58||||
J7519||0.52||||
J9000||3.3||||
J9045||3.4||||
J9060||2.37||||
J9071||1.16||||
J9073||0.93||||
J9074||4.21||||
J9075||1.01||||
J9130||4.27||||
J9171||0.79||||
J9178||1.62||||
J9181||1.37||||
J9190||2.39||||
J9201||2.79||||
J9206||2.5||||
J9209||1.89||||
J9263||0.06||||
J9267||0.1||||
J9294||0.62||||
J9297||1.28||||
J9305||4.18||||
J9351||1.62||||
J9360||4.43||||
Q0138||0.34||||
Q0139||0.34||||
C9047||749.27||||
C9101||1.13||||
C9144||0.48||||
C9145||1.81||||
C9293||407.28||||
C9460||14.63||||
C9462||0.47||||
C9488||44.57||||
C9507||750.5||||
J0172||5.98||||
J0177||329.24||||
J0178||817.52||||
J0179||328.11||||
J0180||219.06||||
J0184||9.0||||
J0202||2333.23||||
J0207||1071.41||||
J0208||91.34||||
J0210||40.0||||
J0216||2.96||||
J0217||437.54||||
J0218||378.1||||
J0219||73.29||||
J0220||206.64||||
J0221||197.51||||
J0222||94.42||||
J0248||1.89||||
J0256||0.48||||
J0257||1.12||||
J0285||44.5||||
J0287||10.5||||
J0288||21.03||||
J0289||18.87||||
J0300||183.26||||
J0349||5.66||||
J0391||45.27||||
J0400||0.76||||
J0470||56.42||||
J0480||4584.31||||
J0491||12.83||||
J0558||19.52||||
J0565||35.4||||
J0567||106.4||||
J0593||85.28||||
J0596||30.26||||
J0597||63.9||||
J0598||59.75||||
J0599||11.64||||
J0613||0.09||||
J0650||10.21||||
J0651||4.75||||
J0652||7.49||||
J0665||0.01||||
J0666||1.56||||
J0691||0.68||||
J0698||5.03||||
J0701||1.37||||
J0703||0.51||||
J0714||96.12||||
J0716||5246.1||||
J0720||48.65||||
J0739||6.55||||
J0740||523.54||||
J0775||66.7||||
J0791||124.08||||
J0795||9.13||||
J0840||1757.89||||
J0841||1035.65||||
J0850||1810.48||||
J0870||48.11||||
J0875||11.15||||
J0879||0.23||||
J0898||3.9||||
J0899||3.9||||
J1050||0.57||||
J1071||0.03||||
J1095||1.15||||
J1100||0.11||||
J1110||43.62||||
J1130||0.21||||
J1162||4883.64||||
J1201||10.41||||
J1203||83.6||||
J1250||3.47||||
J1260||6.17||||
